epoch,train_loss,val_loss,bleu_score
1,3.8205102343618136,2.831024821211652,0.48954631798674875
2,2.6640518727125944,2.5095767684099153,0.48998230789790914
3,2.39534279593715,2.322580907402969,0.4900274468640594
4,2.216033646353969,2.1957997287191997,0.4900725858302097
5,2.091066445833371,2.0893779149869594,0.4900725858302097
6,1.9686160157492132,2.0026338652866644,0.4898203857813694
7,1.8680604733066795,1.9291343340059606,0.48321068424599356
8,1.7911818079006525,1.867120937603276,0.4900725858302097
9,1.6992046612280387,1.8122923694005826,0.4895860684483547
10,1.6378404299418132,1.7578186058416598,0.4860625957521392
